path,n_frames,n_unique_ecmus,sequence
CatA_Sample.wav,84,4,"5,5,5,5,6,11,11,11,11,11,11,11,11,6,6,6,11,6,6,6,6,6,6,5,6,6,6,11,6,6,11,6,6,5,6,5,5,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6"
CatB_Sample.wav,84,11,"17,17,17,17,17,17,17,17,17,13,9,9,9,9,15,15,15,9,14,2,1,1,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,13,6,13,13,11,7,1,11,14,14,14,14,14,13,13,13,13,13,13"
CatC_Sample.wav,172,5,"11,11,8,8,8,8,8,10,10,8,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,10,8,8,8,10,8,17,8,8,8,8,10,10,13,8,8,13,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,8,8,8,10,10,11,10,10,10"
CatD_Sample.wav,163,11,"6,6,6,6,6,1,1,1,7,1,1,7,1,1,11,1,6,6,14,14,14,14,14,5,13,13,13,9,9,9,6,6,6,7,11,11,11,11,11,7,11,11,7,7,11,7,14,11,11,11,11,11,11,11,11,11,11,11,4,4,14,11,4,11,11,11,13,11,11,11,11,11,11,11,11,11,11,6,11,17,6,17,11,11,11,11,11,11,11,11,6,14,11,17,11,17,17,11,17,17,17,17,10,17,17,17,17,17,17,17,11,17,17,17,4,17,1,10,17,17,11,11,11,11,11,11,11,17,17,14,14,13,13,13,13,13,13,13,13,13,13,11,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6"
CatE_Sample.wav,84,8,"15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,3,3,3,3,3,3,3,3,3,3,3,3,18,14,18,18,18,18,18,7,7,7,7,13,12,12,13,13,13,7,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,12,16,16,16,16,16,16"
CatF_Sample.wav,71,6,"6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,17,4,4,4,4,4,4,17,4,4,17,4,4,4,11,4,4,4,11,4,4,13,4,4,4,4,4,4,13,4,4,4,4,4,11,4,4,11,4,4,4,4,4,4,17,11,4,4,10,4,4,10,4"
CatG_Sample.wav,112,7,"12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,9,9,9,9,15,15,15,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14
CatH_Sample.wav,100,9,"17,14,17,17,17,14,17,17,17,17,17,17,10,17,17,10,10,10,13,13,13,13,9,9,9,9,13,13,13,13,13,13,13,0,0,0,0,0,3,3,3,15,15,3,0,15,15,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,14,14,14,14,17,17,17,17,17,17,17,17,17,17,10,17,17,17,10,10,10,10,10,10,10,10,10"
CatI_Sample.wav,110,12,"14,6,14,6,14,1,1,1,1,1,1,1,17,1,1,1,7,3,13,14,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,14,13,14,14,14,14,2,14,2,17,17,17,17,2,17,6,6,9,9,5,5,5,15,5,5"
CatJ_Sample.wav,132,8,"9,9,9,9,9,9,15,15,15,15,15,15,0,0,0,7,0,7,7,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,14,3,0,3,0,0,0,9,9,6,9,6"
